dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
FranciosaI_2021	SRR12227952	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539509	SRR12227952	SRX8736555	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	5708130894.0	38289952	75	150	148.673678	150	22442	4	0	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227953	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539508	SRR12227953	SRX8736554	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	3416803958.0	22963353	75	150	148.400103	150	79011	2	0	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227954	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539507	SRR12227954	SRX8736553	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	3595516768.0	24158343	75	150	148.439019	150	74598	0	0	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227955	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539506	SRR12227955	SRX8736552	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	3504916199.0	23535867	75	150	148.506402	150	59161	1	0	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227956	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539505	SRR12227956	SRX8736551	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	4225557824.0	28370987	75	150	148.583559	150	44501	2	1	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227957	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539504	SRR12227957	SRX8736550	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	5202643617.0	34917504	75	150	148.632847	150	47179	1	1	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227958	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539503	SRR12227958	SRX8736549	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	4444164433.0	29892508	75	150	148.271023	150	19700	1	1	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227959	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539502	SRR12227959	SRX8736548	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	363715267.0	2459181	75	150	146.613278	150	1446	1	1	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227960	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539514	SRR12227960	SRX8736547	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	3714239750.0	24930116	75	150	148.601566	150	43570	3	0	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227961	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539513	SRR12227961	SRX8736546	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	4127464776.0	27721908	75	150	148.541464	150	67484	1	0	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227962	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539512	SRR12227962	SRX8736545	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	4918325795.0	33050957	75	150	148.455362	150	66046	2	0	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227963	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539511	SRR12227963	SRX8736544	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	4128847336.0	27740059	75	150	148.462291	150	63714	2	1	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227964	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539510	SRR12227964	SRX8736543	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	4377999020.0	29395758	75	150	148.569004	150	59792	2	0	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227965	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539501	SRR12227965	SRX8736542	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	3078526788.0	20699930	75	150	148.416197	150	72636	1	0	0	0	no	Liam_Walsh
FranciosaI_2021	SRR12227966	food	fermented_meat	meat	pig_sausage		F	ITA	SAMN15539500	SRR12227966	SRX8736541	SRP272053	PRJNA636619	NCBI	PAIRED	NextSeq_550	RNeasy_Power_Microbiome_kit	2018	3310399114.0	22233441	75	150	148.504409	150	64661	1	0	0	0	no	Liam_Walsh
